NameTTD	Time
1	48.0
2	21.0
3	179.0
4	16.0
5	88.0
6	6.0
7	5.0
8	4.0
10	8.0
11	10.0
12	5356.0
13	7.0
14	26.0
15	26.0
16	8.0
17	27.0
18	8.0
19	7.0
20	6.0
21	52.0
23	30.0
24	9.0
25	8.0
26	72.0
27	25.0
28	7.0
29	9.0
30	145.0
31	5.0
32	98.0
33	23.0
34	68.0
35	5.0
36	18.0
37	13.0
38	22.0
39	203.0
41	7.0
42	54.0
43	54.0
44	170.0
45	86.0
46	32.0
48	29.0
49	74.0
50	68.0
51	5.0
52	56.0
53	17.0
54	55.0
55	13.0
