NameTTD	Time
1	131.0
2	13.0
3	20.0
4	27.0
5	42.0
6	18.0
7	43.0
8	263.0
9	20.0
10	339.0
11	100.0
12	30.0
13	18.0
14	33.0
15	5509.0
16	38.0
17	148.0
18	20.0
19	95.0
20	72.0
21	187.0
22	22.0
23	270.0
24	39.0
25	176.0
26	65.0
27	17.0
