NameTTD	Time
1	1.0
2	0.0
3	228.0
4	78.0
5	0.0
6	1.0
7	0.0
8	0.0
9	0.0
10	45.0
11	173.0
12	3.0
13	1.0
14	44.0
15	88.0
16	0.0
17	0.0
18	1.0
19	0.0
20	0.0
21	113.0
22	138.0
23	1.0
24	1.0
25	0.0
26	1.0
27	0.0
28	14.0
29	1.0
30	1.0
31	1.0
32	5.0
33	47.0
34	1.0
35	0.0
36	1.0
37	1.0
38	0.0
39	1.0
40	456.0
41	0.0
42	2.0
43	1.0
44	79.0
45	0.0
46	1.0
47	42.0
48	76.0
49	1.0
50	3.0
51	0.0
52	0.0
53	53.0
54	38.0
55	0.0
56	0.0
57	60.0
58	197.0
59	1.0
60	45.0
61	434.0
62	14.0
63	138.0
64	1.0
65	1.0
66	20.0
67	48.0
68	21.0
69	179.0
70	16.0
71	88.0
72	6.0
73	5.0
74	4.0
75	20.0
76	8.0
77	10.0
78	5356.0
79	7.0
80	26.0
81	26.0
82	8.0
83	27.0
84	8.0
85	7.0
86	6.0
87	52.0
88	5389.0
89	30.0
90	9.0
91	8.0
92	72.0
93	25.0
94	7.0
95	9.0
96	145.0
97	5.0
98	98.0
99	23.0
100	68.0
101	5.0
102	18.0
103	13.0
104	22.0
105	203.0
106	1877.0
107	7.0
108	54.0
109	54.0
110	170.0
111	86.0
112	32.0
113	154.0
114	29.0
115	74.0
116	68.0
117	5.0
118	56.0
119	17.0
120	55.0
121	13.0
122	3.0
123	6.0
124	277.0
125	243.0
126	0.0
127	0.0
128	7.0
129	246.0
130	286.0
131	10.0
132	287.0
133	0.0
134	612.0
135	8.0
136	8.0
137	0.0
138	219.0
139	1.0
140	2.0
141	13.0
142	29.0
143	604.0
144	268.0
145	7.0
146	6.0
147	9.0
148	0.0
149	259.0
150	239.0
151	0.0
152	0.0
153	1.0
154	0.0
155	16.0
156	5.0
157	0.0
158	0.0
159	7.0
160	241.0
161	7.0
162	1269.0
163	0.0
164	31.0
165	1.0
166	0.0
167	0.0
168	19.0
169	471.0
170	0.0
171	16.0
172	0.0
173	32.0
174	88.0
175	4.0
176	0.0
177	7.0
178	3.0
179	1.0
180	3.0
181	1.0
182	19.0
183	1.0
184	1.0
185	1.0
186	1.0
187	69.0
188	1.0
189	1.0
190	1.0
191	2.0
192	1.0
193	5387.0
194	46.0
195	5437.0
196	145.0
197	65.0
198	7.0
199	61.0
200	18.0
201	46.0
202	51.0
203	25.0
204	666.0
205	30.0
206	74.0
207	132.0
208	31.0
209	64.0
210	28.0
211	1.0
212	3.0
213	13.0
214	33.0
215	2150.0
216	1.0
217	2.0
218	1.0
219	0.0
220	1.0
221	1.0
222	1.0
223	2.0
224	0.0
225	1.0
226	3.0
227	588.0
228	2000.0
229	1.0
230	0.0
231	0.0
232	0.0
233	1.0
234	240.0
235	1.0
236	3.0
237	8.0
238	0.0
239	3.0
240	3887.0
241	1.0
242	131.0
243	2.0
244	1.0
245	1.0
246	24.0
247	0.0
248	3.0
249	5.0
250	4286.0
251	13.0
252	1.0
253	1.0
254	14.0
255	3386.0
256	10.0
257	13.0
258	354.0
259	1.0
260	1946.0
261	2.0
262	1.0
263	0.0
264	2.0
265	5.0
266	0.0
267	25.0
268	1886.0
269	12.0
270	1.0
271	566.0
272	297.0
273	1.0
274	1.0
275	8.0
276	43.0
277	2.0
278	742.0
279	0.0
280	18.0
281	1.0
282	6.0
283	33.0
284	929.0
285	1.0
286	0.0
287	13.0
288	30.0
289	1.0
290	1.0
291	1.0
292	1.0
293	1.0
294	1.0
295	1.0
296	1.0
297	9.0
298	1.0
299	2.0
300	9.0
301	2.0
302	1038.0
303	14.0
304	530.0
305	1.0
306	71.0
307	1.0
308	42.0
309	1.0
310	2.0
311	16.0
312	9.0
313	28.0
314	6.0
315	243.0
316	131.0
317	13.0
318	20.0
319	27.0
320	42.0
321	18.0
322	43.0
323	263.0
324	20.0
325	339.0
326	100.0
327	30.0
328	18.0
329	33.0
330	5509.0
331	38.0
332	148.0
333	20.0
334	95.0
335	72.0
336	187.0
337	22.0
338	270.0
339	39.0
340	176.0
341	65.0
342	17.0
