NameTTD	Time
1	2.0
2	1.0
3	244.0
4	230.0
5	1.0
6	1.0
7	5.0
8	248.0
10	17.0
12	1.0
15	12.0
16	0.0
17	313.0
18	3.0
19	2.0
20	16.0
22	465.0
23	443.0
24	7.0
27	1.0
28	234.0
29	419.0
30	0.0
31	1.0
32	0.0
33	0.0
34	11.0
35	6.0
36	6.0
37	1.0
38	3.0
39	232.0
40	14.0
42	0.0
43	16.0
44	0.0
45	1.0
46	2.0
47	8.0
49	0.0
50	3.0
51	0.0
54	2.0
55	0.0
56	11.0
57	4.0
